Ratings,Review_body,Date,Review_head
5.0 out of 5 stars,"At first i received a defective product because there wasn't any bass till i had to maximize the sound level and even the left hand side was making a mechanical sound. I was really disappointed.
Then i requested for a replacement and got them after a few days but this time i got the product right. As everything is in good shape and even the bass is good and deep.
Just the noise cancellation is not upto the point but at this price i don't think there's any better product with such a good sound and bass as compared to sony, skullcandy and senneheiser.
The design is really cool and the product is very sturdy. The sound quality is just awesome with deep bass but not earthquake like. It's too comfy and one can listen upto 5-6 hours straight. Here's the product review:-
Design- 9/10 (can get better)
Performance- 10/10 ( can also use the JBL app)
Build Quality- 9/10 ( as compared to others)
Bass- 9/10 ( not too much thumpy but deep )
Sound Quality - 10/10 ( that's JBL for you)
Noise Cancellation- 5/10
Comfort- 9/10 ( as they used faux leather)
Mic- 7/10 ( ok but can be improved a lot)
Battery- 10/10 ( charge for a while and enjoy)
Controls- 8/10 ( not easy to locate at first while using)
Connectivity- 8/10 ( can get connected upto two devices but connectivity can be improved)
Price- 10/10
If anyone feel like they don't get the desired results from their headphones as specified in the product then don't hesitate to go for replacement.",Reviewed in India on 4 October 2019,Honest Product Review
1.0 out of 5 stars,"Firstly delivered product was having defect in bluetooth connectivity as well as no buttons were working
Secondly delivered product was having issue with buttons and no buttons were working at all
The product is not comfortable, its very bulky
Sound quality is not upto the mark
Noise cancellation was poor",The manufacturer commented on the review below,Defective product received twice
4.0 out of 5 stars,"Great product by JBL... Absolutely loving it!!
Best headphones under 10k!
Excellent sound signature...The mid tones and the high tones are produced very nicely and there's also ample amount of base...
Noise Cancellation is allright,cannot complaint about the Noise Cancelling due to the price range.Just Don't expect it to give Noise Cancellation as the Sony and the Bose...
The only con that is there should be the lack of type c charging!I really feel like JBL should have given that...!!",Reviewed in India on 8 January 2020,Excellent Buy
5.0 out of 5 stars,"This is a 5 star product if there were any option to add ore stars I would surely do it. This works great with the app from JBL "" My JBL Headphones. unlike Bose or Sony you would get a nice amount noise cancellation under such low cost this product has justified itself for its reasonable price I was impressed of JBL before and I am more impressesd now.I tottaly recommend this buy this beleive me this is truly great product.",Reviewed in India on 30 August 2019,This product works great with the app my JBL Headphone.
5.0 out of 5 stars,I used this JBL headphone for at least 28 hrs without noise cancellation. I must say  its sound quality is amazing and comfort is great . Noise cancellation is also better .Thanks amazon for fast delivery and providing genuine product.Tumbs up for JBL,Reviewed in India on 19 January 2020,Best in class
3.0 out of 5 stars,I was really looking forward forward an eager to use this one but it was ok . It dint exceed my expectations. It can't beat Bose and Sony . Active noise cancellation is jus additional feature. If u r looking for great ANC headphones don't buy it. The thud effect (bass) is not so impressive but it is medium . The detailing and mid high ranges are gud . Overall it's ok one for a audiophile.,Reviewed in India on 7 November 2019,Ok!
4.0 out of 5 stars,"Good product, matched expectations. noise cancelations could have been better though. Superb sound quality with adequate, balanced bass, treble and mid. Battery goes 3 days with 4 hours avarage usage on a single charge. Definitely would recommend.",Reviewed in India on 10 September 2020,So much for a lot less!
2.0 out of 5 stars,I used this product for one day and I was facing issues with buttons. The headset was not turning off at all. I tried keeping it entire night still no use. Also having issues in turning on / off noise cancellation. Overall sound is pretty good. But I received defective product. So I returned.,Reviewed in India on 2 March 2020,Defective product
5.0 out of 5 stars,"These are the best headphones i hv ever used! Noise cancellation is amazing, fully comfortable & massive sound quality! Go for it!!",Reviewed in India on 6 March 2020,Awesome!
4.0 out of 5 stars,"This review i am writing after using 15days. Sound quality is good not so great, noise cancellation is just fine, able to eliminate fan wind noise not like completely eliminate outter world noice. Considering the fact that woryhy for 8k.",Reviewed in India on 6 June 2020,Good product
5.0 out of 5 stars,"Great feedback from the person I gifted this to. Best part the ANC (active noise cancellation) that can be turned on or off. Good sound quality, fine with base too. Overall good purchase",Reviewed in India on 10 August 2020,Good purchase
5.0 out of 5 stars,"See, it's good to have such a product with such a amazing sound quality and with noise cancellation active I fell really amazing and listening to the music with such a marvellous sound quality, I am speechless....If your thinking for comfort, believe me it's good, it's not delusive.",Reviewed in India on 6 July 2019,Try it first!!
5.0 out of 5 stars,Sound quality and noise cancellation is really good. Headphones are slightly bigger in size though.,Reviewed in India on 13 August 2020,Great sound quality !
4.0 out of 5 stars,Good but i still prefer Sony wh ch700n for Sony but the built (look) and noise cancellation is better in JBL  sound is good but not as much as Sony's,Reviewed in India on 29 October 2019,Good
5.0 out of 5 stars,Very comfortable to wear.. awesome noise cancellation .... good in app control of sound equalizers... not very loud ... but good enough loudness...,Reviewed in India on 10 February 2020,Perfect Noise cancellation Headphone
2.0 out of 5 stars,"Jbl650btnc is not an extraordinary I can say it has many flaws the one thing I liked most is noise cancelling which clears about 70% of out noise bass is normal, 40mm drivers cannot handle bassboost which leads to distortions , it gives less comfort as it packs ear",Reviewed in India on 9 October 2019,Not worthy for the price not
3.0 out of 5 stars,I am little bit upset with this product because of its noise cancellation capabilities. I know that noise cancellation does not work 100% but this is not even 50% many times,Reviewed in India on 31 January 2020,Noise cancellation is not cancelling 50% of noise
4.0 out of 5 stars,Appreciable level of noise cancellation and great sound quality,Reviewed in India on 10 September 2019,Very good product
1.0 out of 5 stars,There is a static noise in the right ear and when I turn off noise cancelling the right ear cup becomes completely silent,The manufacturer commented on the review below,Right side not working after 1 month only
5.0 out of 5 stars,"Love everything about it. Happy with the sound quality, noise cancellation. Completely isolated when listening to music. Bass is too good.",Reviewed in India on 12 August 2019,Value for money
4.0 out of 5 stars,This is an awesome by great comfort for long hours of wearing it.. nice fit. Good noise cancelling quality for this price range..,Reviewed in India on 22 August 2019,Best buy in this price range.
1.0 out of 5 stars,Worst headphones. Noise cancellation is almost negligible.Don't buy these. Sound quality not to the mark. Comfort is great.,The manufacturer commented on the review below,Do not buy
3.0 out of 5 stars,"not loud enough, wish had control over level on noise cancellation, bass is ok, sound is crisp, at this price point product should be up to mark",Reviewed in India on 1 March 2020,Good but not awesome
2.0 out of 5 stars,"Not good. Noise cancellation is really bad, decent sound but low bass, worth only 4000, Not very happy, Better go for some other options like Audio technica or sony/Bose",Reviewed in India on 4 June 2020,Doesn't worth rs 8000
5.0 out of 5 stars,Noise cancellation is good. Sound quality is awesome.,Reviewed in India on 21 August 2019,Loved it
1.0 out of 5 stars,Sound quality is very bad. Noise cancelation doesn't work properly. Google assistant gets ON without touching the ear pad.,The manufacturer commented on the review below,Not good.
5.0 out of 5 stars,In this Budget it is owesome. Noise Cancellation is good but if you want more good noise cancellation you have to pay more. Bass is outstanding. JBL is know for soound quality.,Reviewed in India on 6 October 2019,In this price it is out of every other
1.0 out of 5 stars,No Noise Cancellation at all,The manufacturer commented on the review below,No Noise Cancellation at all.
4.0 out of 5 stars,It is a very nice sturdy product. Noise cancellation is up to the mark for it’s price range. Sound quality is good. You will feel some pressure if you have slightly bigger head.,Reviewed in India on 21 November 2019,A great product for its price range
5.0 out of 5 stars,The sound quality is excellent. The noise cancellation could have been better.,Reviewed in India on 3 October 2019,Excellent over the ear Bluetooth NC headphone
3.0 out of 5 stars,Noise cancellation is not that good. Sound quality is just ok. Comfort and build is pretty good. Call quality is poor. Overall not worth the price.,Reviewed in India on 19 January 2020,Poor call quality
5.0 out of 5 stars,The headphones fit perfect and very comfortable and noise cancellation makes listening more better and sound quality is awesome. Loved the product,Reviewed in India on 14 August 2020,Superb and Noise cancellation seems to be great with full volume
4.0 out of 5 stars,"After using this product my experience about it is Noise Cancellation 80%, Sound Quality 70% and Battery Life 95%",Reviewed in India on 23 July 2020,Need improvement because I'm not fully satisfied with this product.
4.0 out of 5 stars,Noise cancellation works best for it's cost.sound quality is good but not great.,Reviewed in India on 2 March 2020,Best to its price
4.0 out of 5 stars,"Overall not a bad experience, decent sound quality and noise cancellation.... Recommended",Reviewed in India on 23 March 2020,Go for it
5.0 out of 5 stars,SuperbSound and noise cancel,Reviewed in India on 17 November 2019,It's amazing
4.0 out of 5 stars,"Noise cancellation is very good, battery life good, Music quality okay",Reviewed in India on 6 March 2020,Best noise cancellation headphones
5.0 out of 5 stars,The noise cancellation is ok for the price range. Value for money product,Reviewed in India on 28 September 2019,Value for money
4.0 out of 5 stars,Noise cancellation good quality and sound quality ok comfort ok.,Reviewed in India on 21 July 2019,Cover is good quality
4.0 out of 5 stars,Noise Cancellation is not that good. Sound Quality is great.,Reviewed in India on 17 July 2019,Good Product with Great Sound
3.0 out of 5 stars,Noise cancellation button response is very low ..,Reviewed in India on 8 March 2020,Little sad
5.0 out of 5 stars,Very good noise cancellation is simply amazing,Reviewed in India on 5 March 2020,Veryyyyyy good product
5.0 out of 5 stars,Noise cancellation  is not 100 percent,Reviewed in India on 19 July 2019,Noise cancellation found wanting
5.0 out of 5 stars,Noise cancellation is miraculous!,Reviewed in India on 9 July 2020,Excellent sound and noise cancellation
4.0 out of 5 stars,Good noise cancellation headset under 10k,Reviewed in India on 28 June 2020,Great sound
5.0 out of 5 stars,"Got this beast delivered within a day. The below review is based on hardly one day use. Will share the long-term review later.

Packaging: The unboxing experience was premium. The way packaging is done makes you feel premium, gives you assurance that yes, you’ve ordered a premium headphone.

In the Box: In the box, you get headphones, Aux Cable (superb quality), charging cable and a carrying pouch with large JBL logo in one side. I wish charging cable would have been “C” type.

Built Quality: The built quality of headphone is good. They’re largely built from plastic, but they don’t feel cheap or weak, and expecting them to withstand the day to day use. The headband is made of metal covered with fabric material. It looks really good but also creates an opportunity to attract dust. I hope over a period of time the premium feel should fade away.

Noise Cancelling: At this price point, these are the best noise cancelling headphones available. Though we cannot compare it to that of Bose or Sony which are almost three times costlier. These headphones do this job close to 80% compared to Bose or Sony.

Comfort: These are not only good-looking headphones but comfortable too. They do have a good amount of padding around the ear cups and cushion under the headband. Initially you’ll feel these headphones a little heavy, but after using it for some longer time, you’ll be used to it. I feel these are comfortable for longer duration of use too.

Sound Quality: Now come to the main function. Sound Quality as usual for JBL, is awesome. High, Mid, Low everything is well tuned. Bass Lovers will love the sound of this headphone. You also get an option to download and use the app called “My JBL Headphones” for enhanced sound experience. The app has three pre-set equalizers setting, “Bass, Jazz & Vocal”. I prefer to use this equalizer only for listening music (preferred Jazz). For watching movies / series, I will suggest to keep the equalizer off as default sound setting is excellent enough to give you those mind blowing sound effects. Since this is bass heavy sound output, sometimes you don’t get that much crystal clear HD sound compared to Sony, Bose or Sennheiser. But overall great sound.

Performance: Bluetooth range is good enough. I think this headphones use Bluetooth 4.1 which should give range upto 30 feets. Regarding battery backup, I think I should not comment now it's hardly a day I've been using it.

Final Verdict: If you want good looking premium headphones with good noise cancelling and sound quality, but the budget is constrained, without any second thought, GO FOR IT.",Reviewed in India on 19 June 2019,Awesome Purchase
5.0 out of 5 stars,"JBL Live 650 BTNC Review

I’m writing this detailed review of JBL Headphones after about a week of usage.
I pre-ordered these Headphones from Amazon and got them for 9.5 k.

Design 4/5: The JBL Live 650 BTNC are well-designed over-ear headphones. They are well-built headphones and their control scheme is easy to use. However, like most over-ears, they aren't the most portable option and won’t be ideal for sports as they trap heat inside the cups and aren’t stable enough for running

Comfort 5/5: The Live 650 BTNC are comfortable headphones. The padding on the cups is quite soft and their overall design feels fairly lightweight.

Build Quality 5/5: These are very well built Headphones. They feel very durable. The cups are dense enough and should survive a few accidental falls without too much damage. The headband is solid thanks to a reinforcing metal sheet, yet it is still fairly flexible.

Sound 5/5: The JBL Live 650 BTNC are good sounding closed-back over-ear headphones. They have a deep and powerful bass, a very well-balanced mid-range, and a great treble. Their bass is overly thumpy, but fans of bass-heavy genres may prefer this.
Bass heads will love these headphones because of the Extra Bass Sound Signature of these headphones.

Noise Isolation 5/5: These are the only Noise Isolation Headphones available Under 25000 bucks WITH EXTRA BASS SOUND SIGNATURE. The only other Headphones with similar Features are Beats Studio 3 which will set you back for 25k. So it’s pretty impressive to have Active Noise Cancellation at this price with Amazing sound quality.

Call Quality 2/5: These Headphones have pretty mediocre call quality. You have to speak louder than usual, only then the person at the receiving end can hear you properly.

Battery 5/5: With their ANC enabled, you will get about 22 hours of continuous playback with these headphones. They only take just under 2 hours to charge fully, which is good.

Connectivity 5/5: The JBL Live 650 BTNC are Bluetooth compatible headphones that can be simultaneously connected to two devices. This can be very useful if you often change between a work computer and your phone. Also, their wireless range is remarkable. You can use them wired, even if the battery is dead, and their audio cable has an in-line microphone that is compatible with most devices like gaming consoles, which is nice.

Conclusion: I Purchased these Headphones after reading enormous amounts of detailed reviews, comparing these headphones with the alternatives available from Sony, Skullcandy, Sennheiser, etc.
If you want the Best Headphones Under 10k.
Don’t look further than this Brilliant Masterpiece of a product by JBL.",Reviewed in India on 14 June 2019,JBL 650 BTNC Detailed Review
4.0 out of 5 stars,"I'd say the best feature of this headphone is the comfort. You can wear it for hours together and not feel any discomfort. The next thing is sound quality. I found it to be good in terms of both bass and clarity. I'd say it's a little too clear, the downside being there is a minor issue with sibilance at default settings. The 's' and 't' come out sharply especially with female voices. I found that if you turn down the entire 'bass' profile in the jbl app by 1 step (ie. lower the entire frequency curve by a bit) this goes away. Lastly, the noise cancelation is average. It cuts off low rumbling sounds very well (like ac, central cooling) but people speaking, television noise, cellphone speaker playing etc. pass through. I got it for 7k from another site and for that price it's worth it. At 10.5k, I'd go with something else.",Reviewed in India on 12 November 2019,Good headphones if it buy for less than 8k
1.0 out of 5 stars,"These heaphones have a good sound signature for the price, all frequencies are well audible. Battery life is excellent. Google assistant works by tapping on the left ear cup. Noise cancelling is average at best. You can wear them comfortably for hours without discomfort. Ear cups aren't tight. AUX cable is braided with one end being 2.5mm to be connected to the headphones, and 3.5mm for the audio port. Now moving to the bad part.

I purchased this from a Croma retail store near my home about last year. It's still under warranty period. The stitching came apart on it's own without any mechanical damage done to it. I have been extremely careful while handling it. To my horror, JBL does not replace the ear cushions or the headphones when there is physical damage. They do not cover physical damage in their warranties which is really absurd. They don't cover water damage either so what does their warranty cover?? DO NOT BUY THEM! The durability is horrible!! The sales people at Croma specifically told me that if the cushion tears off, it will be replaced by the manufacturer.

JBL has left me utterly disappointed. Till date I have purchased their products, due to their excellent after sales support, good quality sounding headphones. I'll be taking my business elsewhere after this experience.",The manufacturer commented on the review below,"Horrible durability with no replacement for ear cushions, with a non existent warranty."
5.0 out of 5 stars,"Be assured about quality when its brand like JBL… Rocking headphones with great sound and super amazing bass… You can enjoy every beat of music without any disturbance… Very efficient active noise cancellation... Connects easily with Bluetooth devices like laptop, phone or tabs… Battery life is up to 30hrs with faster charging… Very lightweight and comfortable to use.. This is the best headphones I have ever used!! Value for money... highly recommended! You will love it!",Reviewed in India on 5 July 2019,Mind-blowing headphones with great quality
