Ratings,Review_body,Date,Review_head
5.0 out of 5 stars,"This is my first noise-cancelling headphones & below is my experience after 24 hours of usage.

1. Noise-cancelling - It will take you to another dimension if this your first NC headphones. It cancels out 90% of the ambient noise around you. It doesn't cancel all high-frequency sounds. Don't get me wrong here, this is expected from any NC headphones in the market & XM4 is undoubtedly one of the best NC flagships.

2. Sound quality - I have been listening to music continuously & also watched a few episodes of Stranger things. It sounds quite bright, great soundstage & the audio can be adjusted using the equalizer in the companion app. Bass is punchy, definitely not overpowering & the effect makes the experience super-immersive. LDAC works with Android phones. But LDAC is not available with multipoint Bluetooth connections.

3. Comfort - This is one aspect where I'm very picky. As soon as you put these on, it feels like plush cushions over your ears. It is very comfortable & doesn't make me take it off before a couple of hours. After 3+ hours of continuous usage, one will feel some heat around the ears, which is normal if you ask me.

4. Multipoint connection - I find it seamless in this aspect. I'm connected to my laptop & phone simultaneously, it almost instantly switches between devices playing audio.

5. Microphone quality - Honestly, it's okay. If one's planning to buy this only for taking calls, then consider Bose's NC offerings. XM4s are okay for normal day to day calls, the other party can hear little noise, and NC is turned off as soon as a call is started. Call quality is better in cellular & degrades if done through Social apps like WhatsApp.

Conclusion - It is a wonderful experience if one's looking for a flagship headphone with average microphone quality. Sony has left no stones unturned & this is arguably one of Sony's best creations. If spending 30k on a headphone doesn't break the bank or hurts you in any way, then this should be one's best pick in the 30k bracket.",Reviewed in India on 3 October 2020,Best NC cans one can get in 2020
4.0 out of 5 stars,"There is no much improvement in terms of audio quality and noise cancellation. Audio quality is (excellent no doubt) but marginally better than XM3s. Noise cancellation is good and cancels out high and mid tones but low tones are still audible which can be irritating sometimes (My Airpods pro cancel these out). Only feature that is really useful is the multi device connectivity. Most of the ""Adaptive Sound Features"" are gimmicky. This is a good device no doubt but the price difference of almost 6k isn't justified. Wait for few days for the price to drop. I rushed and bought it just few mins after the India launch at a retail store which was a mistake...",Reviewed in India on 27 September 2020,Excellent headphones but wait for the price drop...
3.0 out of 5 stars,Light weight and very comfortable headphones. This is my first noise cancellation headphones and I am impressed with technology. This headphones sounds great too. But unfortunately multiple devices connection has issues when connected with mac and android phone. I found it works fine when connected with iphone and macbook. I am not sure if it's a android problem or just my pixel 2xl 😐,Reviewed in India on 22 September 2020,Comfortable and sounds great but have issues with multiple devices connection
,"Not 1 millisecond, 1 full second... it could even be more. For a $500 pair of headphones you'd think they'd be able to adjust this latency, or fix it with a software patch.

I've gone into the Sony headphone app and even set the headphones to (priority on connection) instead of the audio quality setting, and the Bluetooth connection still has a full second audio lag while watching a movie on my Samsung 4k tv. This is incredibly frustrating as you see people's lips moving but don't hear them speak.

So far I haven't found a way to adjust the latency.

I'll update this part of my review if Sony solves this issue.

The noise cancelling is amazing, the battery life is amazing, the quick charge is amazing, the ability to connect multiple devices is amazing. They're very light weight and incredibly comfortable. If they solve the horrible latency issue, I'll give these a 5 star rating.",Reviewed in Canada on 24 August 2020,
,"I have owned the Bose QC 35 series I (the originals) for four years now, and just recently replaced the ear pads since they finally deteriorated. I figured after four years there has to be some serious improvements in noise cancelling technology, and since the WH-1000XM3 model got so many good reviews I figured these would be awesome. So I pre-ordered them.

I pulled them out of the box and followed the very quick connect process of downloading the app and using it to pair to my phone. It downloaded a firmware update automatically while I fiddled around with some settings briefly and listened to some music. Super easy, awesome.

The sound is very impressive. Punchy kick drum (I listen mostly to rock/metal) and nice bright sound. I quickly settled on a slightly customized version of the included Bright preset.

But things quickly went downhill from there.

After using the headphones for a bit, the touch controls became frankly annoying and easily susceptible to mistakes (I triggered track skips multiple times just by removing and putting the headphones back on). The volume adjustment is especially tedious...if you want to raise or lower the volume significantly you have to swipe it up or down a large number of times because the volume adjustment is done in small increments. With the Bose QC 35 and its dedicated buttons, you just quickly push the buttons. Simple.

I spent about 20 minutes trying to figure out how to pair the headphones with my laptop, reading the guide in the app and doing some web searching, thinking it must be provided by one of the two dedicated buttons like on the Bose QE 35s. Nope. It must be done with the app. In fact, everything has to be done with the app except whatever you have the custom button configured to do, and the power. On the Bose I just have to slide the power button, and it goes into pairing mode. Simple.

The above are honestly smaller issues that you could probably put up with since the sound these produce is so good. However, the deal breaker for me was when I connected them with the included wire to the controller on my Roku Ultra to enjoy some TV time after a long day. I always watch movies and TV with headphones. To my horror they produced a clearly audible hissing sound that is incredibly distracting. I turned them off and on again, disconnected and reconnected the cable. No change, still the hissing sound. My Bose don't produce this sound. Ugh.

After listening to them for a couple hours I had a slight headache and felt fatigued, almost nauseous. I know some people are affected differently by the noise cancelling technology, but I don't get this from my Bose, even after listening to them all day.

Additionally, speaking of noise cancelling, I compared my Bose QC 35s to these, and I couldn't tell the difference between the noise cancelling. They sound the same to me. :shrug: I'm sure you could tell the difference with laboratory equipment though.

All-in-all the sound these produce is really good, and the noise cancelling is great (although I can't tell the difference from my Bose QC 35 Series I). But they have 1) lots of annoyances in the touch controls instead of dedicated buttons, 2) the fact that the app is required to do everything (including pairing) except turning them off and activating the custom button, 3) the hissing on the wired connection to my Roku Ultra, and 4) the fatiguing after listening to them.

I'll be returning them.",Reviewed in the United States on 21 August 2020,
,"Noise cancellation and audio quality are top notch. The bass is nice, clean, and punchy and the rest is pretty good for Bluetooth headphones.

The issues I had and prompted a return for these cans is the mic quality and the touch controls. Pairing them with my desktop and laptops resulted in poor mic quality so Teams/Skype and discord are not usable since it uses a lower quality codec (AptX is GONE in the xm4's and the 3.5mm cable disables the mic). The touch controls aren't customizable so long scroll or short scroll for volume does not change the amount so it's tedious, and if you do it too quickly it skips songs or pauses.

If you have no use for the mic and want good sounding Bluetooth headphones, these are them. If Sony fixed the mic issues from the WH-1000XM3 these would be almost perfect.",Reviewed in Canada on 23 August 2020,
,"These don't cancel out the pitch that I constantly hear in my office, and almost amplifies that pitch. Besides not being able to cancel out high frequency noises and pitches, they're great, but not for my purpose (in my office). If you're the type of person who can hear a lot of low/high frequency sounds, like from kitchen appliances being plugged in, or you can hear that annoying pitch that others do not in your office or home, these won't solve the issue. But if you've been blessed with average ears, you'll be fine and love these.",Reviewed in Canada on 21 August 2020,
,"They are comfortable, sound good and that's it. there's your $500. the rest sucks. I expected better noise cancellation from a $500 headphone. Noise cancellation does everything but block stupid people laughing and talking besides me. thus, need to pump up the volume and possibly hurt my ears. I really regret my purchase after all the hype around these. reviews everywhere said they were the best. In my opinion, they are no better than my kids 50$ headphones. Yes, the sound is good. but I constantly hear this white noise in my ears. If i turn of noise cancellation, I hear people around me even loader than without headphones. it's really unpleasant. Seems Sony WANTS you to hear other people’s conversations. I get that sometimes on the move, near a street, you need to hear but then again, if I choose not too, that should be my choice.So my advice is do not by just because of the noise cancellation cause it’s not what it is. It does not cancel sound. It blocks certain noises but these noises when listening to music would not bother anyhow. Voices however need to be blocked out but are not. I actually even use then in the house for fun when I want to ease drop on my kids phone conversations when they are in their room. I hear them better with the headphone on as it amplifies other people’s voices. Great job on noise cancellation Sony!",Reviewed in Canada on 5 September 2020,
,"Just sitting outside a busy factory downtown city on a park bench. I pull out these slick soft headphones and once i power it on. Well just silence, like your in your own world. I got chills since I've never had noise cancelling headphones.These headphones sound absolutely fantastic. Installing the app on my phone and changed the EQ to excite mode. The bass is not in your face but if you like the rumble low end movie like bass than you will want these. Not to say these headphones can get much more bass if your into that thing. You can connect these headphones to 2 blue tooth devices. So if your a student you can brows tic tok on your iphone and switch to that online lecture like nothing.The build quality is like i said. Slick. Smooth and feels like it will last.The features are pretty cool and time will tell if i keep on using them. But so far after a bit of use i have no issue with any of them as of yet. The battery is fantastic. its light. if you have the DEEP pockets than pull the trigger on these bad boys!",Reviewed in Canada on 29 August 2020,
,"If you are looking for noise cancelation at its best, don't look elsewhere and buy this immediately.

Of all the comments that have been said about being not enough this, not able to do that, I think they are all untrue or either an unlucky manufacturing defect. Launch products are not perfect from the start, it's bound to happen. The only thing I do not use are the microphones for making calls, so you can check online and see for yourself about that aspect.

Let's break this down in points. (TLDR at the bottom)

Comfort/Ergonomics:

Without a doubt the most comfortable headphones I ever wore. People seem to complain that it's not as comfortable as the XM3s, I say it's pretty dang comfortable considering that I wore this thing for more than 5 hours straight and had no neck pain or itching whatsoever.

The weight of these headphones is so light that when the box came in, I thought I had been scammed and the headphones weren't in the box. 250 ish grams is really light (0.55 pounds) for headphones.

The ears are big enough, the line of the muffs doesn't overlap too much towards the neck and the cushion material adapts really well to your head, both on the top of the frame and on the ear muffs.

Sound/frequency response:

I have been mixing/mastering for multiple years on flat studio monitors. Out of all the headphones that I have or I have tried, these are the closest of being pretty much flat, once you cut 3-4 dB from the 400 Hz fader (pretty sure it's an octave bandwidth, or a little more, so it covers at least from 282 Hz to 566 Hz when you adjust it) on the equalizer in Sony's Headphones app.

I have attached the frequency response curve as an image in this review.

The bass is not overwhelming, (although if it's your style, it delivers with the clear bass knob, which probably covers 250 Hz and below), the highs are not too sharp and there's no spike in the high mids (2500-5000 Hz) or in the high end (above 5000 Hz).

The only problem is the low mids at around 400 Hz, which thank god they have a fader for that frequency. No matter what brand you choose, low mids are ALWAYS a problem in headphones. By the way, sound separation is excellent once I made that adjustment. Thank Sony for giving you the option!

The frequency response when using Bluetooth is between 15 Hz to 17 040 Hz. Beyond that, it starts to wane off. I have up to 19.1 kHz in my right ear and 18.3-18.4 kHz in my left ear, so it's not on my side. Considering that my phone has a terrible audio output (it cuts at 15 kHz), it's an upgrade for me.

Also, considering on how many people listen to their music too loud for the last 25 years, I would be highly surprised that people that claim the high end isn't well defined actually know what they are talking about, and most probably don't notice the difference. Same thing with audio CODECS disappearing from the XM3 (the XM4 has 3 and the XM3 had 5), above 256 kbps at variable rate and 320 kbps at constant bit rate, you don't notice anything if the conversion was done right. Above those values, me and my friend call this ""Placebo Quality"". Compression and brickwalled mixes affect the quality perception GREATLY.

Search NPR sound quality test online. It proves my point.

So in conclusion, if the song you are listening sounds like garbage, it's because it was mixed/mastered like garbage (probably mixed nowadays because they brickwall often at this stage). These are hands down the best headphones I ever tried. Period. Including my Sennheisers that I used for multiple years.

Noise cancelation:

I was highly surprised at not only the sensation on your eardrum being pushed in not being super apparent compared to other models, which are quite frankly unbearable in the long run, but also the capabilities of phase canceling of these headphones (the actual term of canceling out waveforms is called phase canceling, noise canceling is a marketing term for people not familiar with audio, since the majority of people don't know what is phase).

Transients (such as impacts) are impossible to isolate because they are too fast to sample and to invert the phase to create cancelation. Steady noises are the only ones that allow the headphones to sample them and invert them, because there's a processing delay. Stop hitting a table like someone I know was doing to test headphones, it's worthless.

The amount that is being canceled out is out of this world compared to previous generations that I have tried. I can't wait to try them on a plane. High end will remain because it's the most difficult part of the waveform to cancel, since it's the most precise and the one that takes up the most information in a signal. I was standing next to a washing machine during its max spin cycle, could barely hear it with audio of people talking in my headphones. Without playback, you hear the high end when you're right in front of it. As soon as you close the door, it pretty much vanishes.

If you have noisy neighbors or live in an apartment, buy this thing! You won't regret it.

Battery life: Outlasts my cell phone by a hundred years. In 2 hours of use, not even 10% used. Specs are believable.

In conclusion, buy this thing if you are looking for noise canceling!

TLDR:
-Super comfortable
-Amazing in sound
-Amazing in noise canceling and battery life matching specs",Reviewed in Canada on 30 September 2020,
,"The touch control on my headphone stopped working, and I thought I received a bad unit. But later I figured out it was the wear detection. I wear the headphone with a skull cap, and the wear sensor doesn't work well with it. It thinks I'm not wearing it, so it automatically shuts down after a while and disables touch control. Without a cap, it works flawlessly, with the cap on, I have to disable Auto Shut-off in the app to make everything work.Besides that problem, it's an amazing headphone. It cancels more noise, is more comfortable, even multipoint support works better compared to Surface Headphones 2. It would be better if it still has Aptx support like the previous gen.",Reviewed in Canada on 31 August 2020,
,"I own both the XM3 and XM4 no perceivable difference between them. I would not recommend you spend the extra money on XM4, XM3 are as good. However, as much as weight is tolerable, the earmuffs are not comfortable. I have not the biggest ears but they are not the small ones that you barely can see. I wonder why would any engineer designing the headphones not realized one simple idea. We all have different sizes of ears, so design extension so people who need more space for the ears can enjoy these headphones as much as the ones that have smaller ones.If your ears are average, you will suffer from heat and sweat. Now, I have been wearing them all day long, only because I have inserts made from foam that create enough space to decrease the discomfort of components and inside foam pressing against your earlobes. The noise cancelling is just amazing and it allows me to focus on studies or work The quality of sound is great, what is missing is the ergonomics. Sony do something about it please.",Reviewed in Canada on 21 September 2020,
,"I wanted to replace my old Bose in-ear noise cancelling headphones with something more comfortable and that works better. I spent hours reading reviews, and settlled on the Sony WH-1000XM4.

When I received it, I was amazed how good everything sounded through them, and how well the noise cancelling worked. And they were comfortable to boot!

However, the next day I did my first Zoom call, and a colleague told me that I sounded like I was in a tunnel, and that he couldn't make out what I was saying. I switched to my old Bose set, and everything was fine.

That evening, i called Sony support. I spent about 30 minutes on the phone with the very nice support person, including making calls from my phone vs my computer, resetting the headphones, etc, etc. It didn't help. He denied that he had heard of microphone problems before. He asked that I send the headphones to Sony for a replacement, thinking that they were a lemon, but I told him I'd rather just return them to Amazon. Which I did. requesting an identical replacement.

A day later I had the new ones. And there was the same problem of poor mic quality, with weird static-like sounds and muffling. At this point, I decided to solve the problem. I tried the following, using recordings of Zoom calls to monitor the quality:

1) Single vs dual bluetooth connectivity.
2) Different microphone volume settings.
3) Different degrees of noise cancellation (including none at all).
And probably a couple that I am forgetting.

Nothing helped the poor mic quality. I then really searched the web, and found out that although there are plenty of wonderful reviews, hidden in the reviews where the mic is used are clear examples of problems with the microphone.

I then called Amazon to request another return, but used the microphone from the headphones, and then switched to my phone. The representative could hear the difference easily, and said she had trouble understanding me when I used the headphones.

So I am giving up, and will buy a different brand. I am writing this long review to spare my fellow Amazonites who need to use a microphone the pain of having to return items.",Reviewed in Canada on 7 September 2020,
,"The noise cancellation on this thing truly has to be experienced to be believed! It completely and thoroughly blocks out almost all background noise, resulting in near-total silence even with no music playing on it.I see there are mixed opinions about the touch controls on the internet but I found them to be quite OK once I got used to them. I had no problems with pairing etc either.  Comfort-wise, I was able to wear the device for 4-5 hours at a stretch,  and did not feel a clamping sensation or my ears getting warm. I did get some mild tinnitus though (despite never exceeding 50% volume) but maybe that's just me, considering no one else has mentioned it.The sound quality, however, was a real sore point for me, considering all the hype. It was, IMO, good on Apple devices, and just OK on Android (even with LDAC on). But (and this is why I decided to return it) it was just downright terrible on Windows 10. It actually sounded worse than my $150 QY8 IEM on Windows, plus the touch controls like Forward/Next/Pause did not work. I was aware that there's no AptX support before purchase, but assumed other enhancements like DSEE would compensate for the quality loss caused by SBC on Windows. Not the case unfortunately. Using it wired does improve the quality on Windows very slightly, but not enough to justify the CA$550 price tag or the extreme hype.",Reviewed in Canada on 3 September 2020,
,"This is my first noise cancelling headset. And I think it's great. It's light, you won't feel tired after long time useage. And noise cancel did help me with my very embarassing situation, cause I live not far from the airport, almost drive me mad. Overall I like it and do think it'd last long. Recommend it if you didn't buy 1000xm3, not great improvememt though.",Reviewed in Canada on 10 September 2020,
,Does not cancel out all noise but cuts it down incredibly.  The sound quality is amazing.  Most comfortable headphones i have had by far. Well worth the money.,Reviewed in Canada on 5 September 2020,
,"I have been using the same pair of studio beats for 4 years and had to buy a new pair of wireless headphones. As these Sony mx4 were the highest rated I purchased them. Long story short I sent them back the same day. Sound is good, noise cancellation is ok, touch panel is not crisp and does not work well. I had to always skip songs or adjust volume directly on my phone. These are ok headphones but not worth $500.",Reviewed in Canada on 30 September 2020,
,The noise cancelling on these headphones is so good that I didn't notice when people screamed and cars honked at me as I crossed the road. Anyway I got hit by a malfunctioning cement truck and permanently became one with the streets. Legends says that the headphones are still on my head in working condition. Would definitely buy again!,Reviewed in Canada on 2 September 2020,
,"Noise cancelling is quite good and the headphones are comfortable.  I appreciate being able to toggle between cancelling noise and being able to listen to ambient sounds (talking) whenever I start to speak.  i.e. ""When is dinner ready?"" On the other hand, if I don't say anything, the world is pretty much dead to me.",Reviewed in Canada on 9 September 2020,
,The best money can buy in noise cancelling. The best made Better,Reviewed in Canada on 22 August 2020,
,"headphones paired to my iPhone, iPad and MacBook but would not switch devices even when selecting the headphones in the bluetooth list",Reviewed in Canada on 7 September 2020,
,"Noise cancellation and audio quality exceeded my expectations. If you can afford it, buy it. If you can not afford it, find a part time job so you can buy it.

I receive both a S-brand Bud+ and the Sony XM4 on the same day.
In short, the Bud+ is garbage, no bass, average mid and high.
The Sony XM4 is a must buy if your budget allows for it.
Highly recommended.",Reviewed in the United States on 20 August 2020,
,"Download Sony Headphone Connect App, open box, turn on headphones (bottom of left headphone on/off switch), using Sony Connect App, connect and paired new headphones.
- My headphones were 100% charged out of box.
- Many features in Sony Connect App, matter of your preference and use. I do think the app is solid and useful for my use of these headphones.
- My headphones firmware updated automatically -be patient, process took several minutes. Initial impression; very comfortable, really good noise canceling and sound quality.
- Voice clarity on both ends is outstanding.
- Easily connected two iPhones, my experience switching between them was seamless.
- Used ear profile in-app feature to analyze my ear shape for 360 Reality Audio setup.
- Able to connect to MacBook Pro (2020 version) directly via Bluetooth with no issues.

UPDATE: >30 hours of iPhone X, 8, and Bluetooth MacBook Pro connection.
- The phone call quality is awesome (you can hear
- No video lag/latency on FT and Zoom calls.
- I have found the connection at times can be a bit cumbersome when having two devices connected and receiving calls, it might be a setting or how I am picking up the call --directly from the phone or double-tapping on the headset.
- Great noise suppression to the wind, outside city/road-noise, etc... No reported issues with other people on calls with me. Always told call quality was very crisp and clear... my experience, much better than Apple Airpod Pro for suppression of noise for callers on the other end.
- I have also now used these headphones for Bluetooth connection to Nvidia Shield connected to my TV for over 16 hrs. Easy direct connection directly from Nvidia Bluetooth Settings. TV and Movie surround sound is great, you can hear the slightest sounds.

Bose 700 vs. Sony WH-1000XM4
- Seamless connection - prefer SONY
- Comfort - prefer Sony
- Headphone sound controls - prefer Bose. Sony touch control works ok but the Bose increase/decrease volume seems to work better on Sony
- Noise-canceling for me, both performed in a similar way
- Call quality, for me, both performed in a similar way

I Will continue to test and use Bose but the feel of the headset on my head is not as comfortable as Sony.",Reviewed in the United States on 21 August 2020,
,"Just got my new XM4 yesterday. Did a full charge and downloaded the app. The sound isn't as good as I had hoped. I'm comparing then to my Bose QC 35. The controls are very awkward but I guess I need some time to adjust. The part I don't like is the technology aspect of these headphones. There are several settings to go thru to establish the proper noise cancelling, including location and sending pics of your ears to Sony. Of course I didn't upload any pics, and after lots of quirks, I turned off location. There is a setting that auto mutes the headphone when you speak, so if you intend to sing along with your music, it mutes. You can't even clear your throat or sneeze, otherwise it mutes. How annoying.. bottom line I turned all the technology off which makes them regular headphones. The sound is great when  playing music, but call quality is mediocre compared to Bose. In the app, you can change the equilizer presets a however, several are identical which is dumb. You can set a custom EQ setting. I'm considering returning them, but I will give a few more days for me to adjust and see if it gets better.One solid point I forgot to mention. The new Sonys have Bluetooth 5.0 where as Bose QC35 have 4.1 or 4.2 (depending on when you bought them). The Bose connection is not very stable. The receiving antenna is on the right side of Bose QC, and if my phone were on my left hip, it cuts it or jitters. The Sony's are absolutely solid, and with 5.0, you can literally walk around the house without your phone and it hasn't stuttered once.Update 8/25/2020: After a couple more hours tinkering with them, the voice assist is horrible, and the worst part, the headphones do NOT announce caller. (Bose do).. I haven't found a solid way to reject a call and it isn't in the help section. While the controls take practice, most of the time I try adjusting the volume, but change the track instead.  I definitely prefer the buttons on the Bose as its really easy and intuitive.",Reviewed in the United States on 23 August 2020,
,"For sure for a $500 headphone one expects great performance!!!
It performs well, although I prefer my B&O H9 with one exception.
The sound quality is very good, recharging time is quite fast too.
Noise cancellation is OK, could be better certainly not better than the B&O H9.
The controls -- this can be a pain. the Bluetooth range is good for about 8-9 metres.
What I liked the most that it folds up and comes with a compact travelling case, which my B&O H9 lacks.",Reviewed in Canada on 2 October 2020,
